file_index,model,condition,audio_duration_s,WER (%),CER (%),MER (%),WIL (%),Word Accuracy (%),WIP (%),SER (%),Sem. similarity,BLEU,Punct (%),NER (%),Morph (%),Substitutions,Insertions,Deletions,Morph errors,Name errors
1,Whisper,Overall,61.761,24.49,13.68,21.05,26.64,75.51,73.36,81.82,0.4064,72.72,84.62,100.0,,10,24,2,3,0
1,Voxtral,Overall,61.761,9.52,2.74,9.46,16.9,90.48,83.1,77.78,0.42,78.62,80.77,100.0,,12,1,1,4,1
2,Whisper,Overall,60.053,12.12,4.71,12.12,22.77,87.88,77.23,100.0,0.3104,75.25,85.71,83.33,,16,0,0,1,4
2,Voxtral,Overall,60.053,18.94,7.42,18.8,32.03,81.06,67.97,100.0,0.3016,66.92,90.48,83.33,,21,1,3,5,1
3,Whisper,Overall,60.8,12.77,3.65,12.41,20.56,87.23,79.44,33.33,0.8523,77.46,100.0,100.0,,13,4,1,3,1
3,Voxtral,Overall,60.8,12.77,2.64,12.59,21.96,87.23,78.04,0.0,0.9526,76.34,100.0,100.0,,15,2,1,3,2
4,Whisper,Overall,62.891,6.45,1.06,6.45,12.49,93.55,87.51,12.5,0.9646,84.08,94.44,80.0,,8,0,0,6,1
4,Voxtral,Overall,62.891,14.52,6.15,14.52,25.11,85.48,74.89,0.0,0.9694,71.37,94.44,70.0,,15,0,3,11,1
5,Whisper,Overall,61.718,8.2,1.39,8.0,13.28,91.8,86.72,0.0,0.9915,82.6,90.48,50.0,,7,3,0,3,2
5,Voxtral,Overall,61.718,8.2,1.51,8.06,14.09,91.8,85.91,0.0,0.9917,84.38,100.0,77.78,,8,2,0,2,1
6,Whisper,Overall,59.563,16.81,9.5,15.62,22.82,83.19,77.18,16.67,0.8256,74.01,100.0,66.67,,10,9,1,5,2
6,Voxtral,Overall,59.563,9.24,3.17,9.24,17.63,90.76,82.37,80.0,0.4014,78.34,90.91,66.67,,11,0,0,5,1
7,Whisper,Overall,55.339,25.89,7.76,23.58,34.8,74.11,65.2,73.33,0.4978,58.8,80.0,66.67,,16,11,2,3,7
7,Voxtral,Overall,55.339,15.18,8.07,14.53,23.69,84.82,76.31,73.33,0.5055,72.02,85.0,88.89,,12,5,0,4,2
8,Whisper,Overall,58.41,14.88,4.79,14.88,23.76,85.12,76.24,82.35,0.5511,68.85,85.71,73.91,,12,0,6,6,3
8,Voxtral,Overall,58.41,4.13,0.68,4.1,7.27,95.87,92.73,82.35,0.573,91.48,85.71,73.91,,4,1,0,3,4
9,Whisper,Overall,61.611,23.85,13.85,22.61,35.12,76.15,64.88,25.0,0.8227,72.43,73.68,37.5,,17,6,3,1,2
9,Voxtral,Overall,61.611,9.17,1.1,9.01,14.92,90.83,85.08,0.0,0.9832,82.55,68.42,75.0,,7,2,1,2,0
10,Whisper,Overall,60.053,15.15,1.39,15.15,23.36,84.85,76.64,50.0,0.653,72.63,70.59,100.0,,9,0,6,1,1
10,Voxtral,Overall,60.053,23.23,8.07,22.55,35.67,76.77,64.33,75.0,0.5967,59.22,76.47,50.0,,16,3,4,1,4
11,Whisper,Overall,63.958,7.03,1.39,7.03,13.57,92.97,86.43,0.0,0.9701,82.99,90.0,80.0,,9,0,0,5,1
11,Voxtral,Overall,63.958,8.59,4.05,8.59,15.79,91.41,84.21,0.0,0.9646,82.84,90.0,100.0,,10,0,1,5,1
12,Whisper,Overall,59.029,6.9,1.01,6.9,12.56,93.1,87.44,50.0,0.8367,83.63,100.0,83.33,,7,0,1,6,3
12,Voxtral,Overall,59.029,10.34,1.52,10.34,19.62,89.66,80.38,50.0,0.829,76.63,100.0,66.67,,12,0,0,8,3
13,Whisper,Overall,62.955,11.67,3.01,11.67,21.32,88.33,78.68,33.33,0.8165,71.78,95.65,50.0,,13,0,1,5,0
13,Voxtral,Overall,62.955,9.17,3.51,9.17,16.8,90.83,83.2,8.33,0.9706,79.9,100.0,100.0,,10,0,1,5,0
